target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier,estimated_systolic_mmHg,estimated_diastolic_mmHg,estimated_systolic_residual_mmHg,estimated_diastolic_residual_mmHg,estimated_euclidean_residual_mmHg,validation_status,restabilization_wall_s,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_pulse_pressure_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_systolic_residual_mmHg,achieved_diastolic_residual_mmHg,achieved_euclidean_residual_mmHg,validated_within_tolerance
165,105,False,,,,,,,,,,,,,,,,,,,False
165,110,False,,,,,,,,,,,,,,,,,,,False
165,115,False,,,,,,,,,,,,,,,,,,,False
165,120,False,,,,,,,,,,,,,,,,,,,False
165,125,False,,,,,,,,,,,,,,,,,,,False
170,45,False,,,,,,,,,,,,,,,,,,,False
170,50,False,,,,,,,,,,,,,,,,,,,False
170,55,False,,,,,,,,,,,,,,,,,,,False
170,60,False,,,,,,,,,,,,,,,,,,,False
170,65,False,,,,,,,,,,,,,,,,,,,False
170,70,False,,,,,,,,,,,,,,,,,,,False
170,75,False,,,,,,,,,,,,,,,,,,,False
170,80,False,,,,,,,,,,,,,,,,,,,False
170,85,False,,,,,,,,,,,,,,,,,,,False
170,90,False,,,,,,,,,,,,,,,,,,,False
170,95,False,,,,,,,,,,,,,,,,,,,False
170,100,False,,,,,,,,,,,,,,,,,,,False
170,105,False,,,,,,,,,,,,,,,,,,,False
170,110,False,,,,,,,,,,,,,,,,,,,False
170,115,False,,,,,,,,,,,,,,,,,,,False
170,120,False,,,,,,,,,,,,,,,,,,,False
170,125,False,,,,,,,,,,,,,,,,,,,False
175,45,False,,,,,,,,,,,,,,,,,,,False
175,50,False,,,,,,,,,,,,,,,,,,,False
175,55,False,,,,,,,,,,,,,,,,,,,False
175,60,False,,,,,,,,,,,,,,,,,,,False
175,65,False,,,,,,,,,,,,,,,,,,,False
175,70,False,,,,,,,,,,,,,,,,,,,False
175,75,False,,,,,,,,,,,,,,,,,,,False
175,80,False,,,,,,,,,,,,,,,,,,,False
175,85,False,,,,,,,,,,,,,,,,,,,False
175,90,False,,,,,,,,,,,,,,,,,,,False
175,95,False,,,,,,,,,,,,,,,,,,,False
175,100,False,,,,,,,,,,,,,,,,,,,False
175,105,False,,,,,,,,,,,,,,,,,,,False
175,110,False,,,,,,,,,,,,,,,,,,,False
175,115,False,,,,,,,,,,,,,,,,,,,False
175,120,False,,,,,,,,,,,,,,,,,,,False
